generation,lifespan,food_harvested,damage_accumulated,elite_score,goal_count,habit_index,exploration_diversity,procedural_inheritance_on,ecological_persistence_on,culture_on,goal_crystallization_on
16,1350,0,0.0306,720.7073,2,1.6654,99.96,True,True,True,True
17,1052,0,0.0000,695.9399,2,1.4995,100.00,True,True,True,True
17,939,0,0.2058,683.5590,3,2.0771,100.00,True,True,True,True
18,992,0,0.0000,690.0731,2,2.4024,100.00,True,True,True,True
18,1078,0,0.2177,697.2907,3,1.5662,100.00,True,True,True,True
19,1006,0,0.3809,689.5687,1,1.7445,99.92,True,True,True,True
19,1042,0,0.0534,694.7185,2,1.9147,99.96,True,True,True,True
20,1206,0,0.0567,709.3059,1,1.9395,100.00,True,True,True,True
20,797,1,0.1805,1667.3085,0,1.8013,99.92,True,True,True,True
21,975,0,0.0405,688.1437,1,1.5638,100.00,True,True,True,True
21,787,0,0.0761,666.5691,2,1.4952,100.00,True,True,True,True
22,681,0,0.0000,652.5030,2,1.7560,100.00,True,True,True,True
22,1786,4,0.1802,4747.9281,1,1.6438,100.00,True,True,True,True
23,748,0,0.0000,661.8739,1,1.4145,100.00,True,True,True,True
23,832,0,0.3723,670.6417,3,1.4442,99.92,True,True,True,True
24,919,0,0.0000,682.4374,1,2.6106,100.00,True,True,True,True
24,1228,2,0.1584,2710.6036,1,1.6717,100.00,True,True,True,True
25,588,0,0.1274,637.2055,0,2.2486,99.72,True,True,True,True
25,853,0,0.0045,674.9705,1,2.3603,100.00,True,True,True,True
26,1096,1,0.0000,1700.0334,2,2.4031,100.00,True,True,True,True
26,1063,1,0.2356,1695.8008,0,1.7887,100.00,True,True,True,True
27,868,0,0.0000,676.7343,1,1.6054,100.00,True,True,True,True
27,1063,1,0.6817,1693.5705,4,2.1958,99.92,True,True,True,True
28,631,2,0.0335,2644.7212,0,2.3114,100.00,True,True,True,True
28,786,0,0.1965,665.8406,2,1.9356,100.00,True,True,True,True
29,733,0,0.0000,659.8509,2,2.2061,100.00,True,True,True,True
29,1173,0,0.0639,706.4979,3,1.9430,100.00,True,True,True,True
30,1303,0,0.1401,716.6187,3,2.6052,100.00,True,True,True,True
31,1612,0,0.0250,738.4601,2,2.1190,100.00,True,True,True,True
32,1115,0,0.0000,701.7506,1,2.2182,100.00,True,True,True,True
33,1240,0,0.1066,711.8345,5,2.0824,100.00,True,True,True,True
34,1467,1,0.0401,1728.9653,1,2.1968,100.00,True,True,True,True
35,1323,0,0.0000,718.8413,2,1.7397,99.92,True,True,True,True
36,935,0,0.2255,683.0341,1,1.7094,100.00,True,True,True,True
37,2049,2,0.0000,2762.5595,1,2.2506,100.00,True,True,True,True
38,1386,1,0.0574,1723.2029,1,2.1495,100.00,True,True,True,True
39,1870,1,0.3690,1751.5779,2,1.9929,100.00,True,True,True,True
40,1733,1,0.0095,1745.7712,1,1.4963,100.00,True,True,True,True
41,42,0,1.0000,371.1200,0,0.9402,82.64,True,True,True,True
42,1417,2,0.0642,2725.3794,2,1.4692,100.00,True,True,True,True
43,1617,0,0.0278,738.7557,2,1.9555,100.00,True,True,True,True
44,1295,0,0.0000,716.7038,2,2.1238,100.00,True,True,True,True
45,1389,0,0.3856,721.7779,4,1.0409,100.00,True,True,True,True
46,1599,0,0.0000,737.7759,2,1.6560,100.00,True,True,True,True
47,40,1,1.0000,1366.3572,0,1.6885,79.04,True,True,True,True
48,1628,0,0.1351,738.8968,2,2.1924,100.00,True,True,True,True
49,1272,0,0.3085,713.3705,4,1.7771,100.00,True,True,True,True
50,1476,0,0.0027,729.7633,2,1.2404,100.00,True,True,True,True
51,1358,0,0.0000,721.4504,3,1.6556,100.00,True,True,True,True
52,1693,1,0.0768,1743.1010,1,1.7970,100.00,True,True,True,True
53,1639,1,0.0992,1739.7494,3,1.6176,100.00,True,True,True,True
54,1211,0,0.2052,708.9769,1,1.7538,100.00,True,True,True,True
55,1507,1,1.0000,1726.8540,6,2.1224,100.00,True,True,True,True
56,1545,0,0.0124,734.2808,2,1.9024,100.00,True,True,True,True
57,1603,0,0.0000,738.0256,2,1.3017,100.00,True,True,True,True
58,1243,1,0.0000,1712.6087,1,0.3322,99.72,True,True,True,True
59,1464,0,0.0278,728.8223,2,2.3188,100.00,True,True,True,True
60,1428,0,0.3809,724.5686,4,1.9258,100.00,True,True,True,True
61,1200,0,0.1790,708.1960,3,2.2708,100.00,True,True,True,True
62,1441,0,0.0000,727.3786,2,2.0805,100.00,True,True,True,True
63,1689,3,0.2098,3742.1996,1,2.4456,100.00,True,True,True,True
64,1668,1,0.1978,1741.0092,2,2.2900,100.00,True,True,True,True
65,1287,0,0.4804,713.6828,0,2.2305,100.00,True,True,True,True
66,1955,1,0.0695,1757.5180,1,1.7807,100.00,True,True,True,True
67,2180,1,0.0494,1768.5069,3,1.5163,100.00,True,True,True,True
68,2441,1,0.1035,1779.5399,3,1.2753,99.88,True,True,True,True
0,2416,1,1.0000,1774.0282,1,0.3871,100.00,True,True,True,True
0,4000,1,0.2056,1828.4021,1,2.0059,100.00,True,True,True,True
1,2233,0,0.1008,770.6509,2,0.9427,100.00,True,True,True,True
1,2326,0,0.3003,773.7322,3,1.4948,100.00,True,True,True,True
0,4404,2,0.4558,2836.7703,2,1.4366,100.00,True,True,True,True
